replicate,seed,generation,extended_extinction,total,sensitive,resistant,effective_genotypes,resistant_percent
10,100052,21,False,2312,0,2312,5.712042957243458,100.0
10,100052,22,False,3448,0,3448,6.582698098680124,100.0
10,100052,23,False,4975,0,4975,7.280366299516174,100.0
10,100052,24,False,7386,0,7386,8.246094420728388,100.0
10,100052,25,False,10748,0,10748,9.216871961209,100.0
10,100052,26,False,15754,0,15754,9.884461283939492,100.0
10,100052,27,False,23234,0,23234,10.914038669309031,100.0
10,100052,28,False,34869,0,34869,11.961520500588257,100.0
10,100052,29,False,52697,0,52697,13.132113613434571,100.0
10,100052,30,False,79794,0,79794,14.223254315260883,100.0
10,100052,31,False,121797,0,121797,15.286324905094263,100.0
10,100052,32,False,186486,0,186486,16.384599265296654,100.0
10,100052,33,False,288091,0,288091,17.51417470662304,100.0
10,100052,34,False,447575,0,447575,18.690742941003883,100.0
10,100052,35,False,698448,0,698448,19.7403891173336,100.0
10,100052,36,False,1094340,0,1094340,20.906652735523874,100.0
11,100053,0,False,100,100,0,1.0,0.0
11,100053,1,False,154,154,0,1.1245826434208193,0.0
11,100053,2,False,185,185,0,1.135150506048932,0.0
11,100053,3,False,272,271,1,1.3167342440834702,0.36764705882352944
11,100053,4,False,379,379,0,1.2705862494312057,0.0
11,100053,5,False,539,539,0,1.4182036436197112,0.0
11,100053,6,False,799,798,1,1.6565901458187131,0.1251564455569462
11,100053,7,False,1084,1081,3,1.8817296578450158,0.2767527675276753
11,100053,8,False,1538,1534,4,2.1376697315160436,0.26007802340702213
11,100053,9,False,2331,2319,12,2.4469038497290976,0.5148005148005148
11,100053,10,False,3363,3348,15,2.6998616370614745,0.44603033006244425
11,100053,11,False,4863,4850,13,2.9339160453963644,0.26732469668928643
11,100053,12,False,6955,6930,25,3.3220744038346175,0.35945363048166784
11,100053,13,False,9963,9930,33,3.655542402264027,0.331225534477567
11,100053,14,False,14517,14446,71,4.202687857479452,0.4890817662051388
11,100053,15,False,20972,20852,120,4.783685467234141,0.5721914934197978
11,100053,16,False,3143,2960,183,6.460687228768269,5.822462615335667
11,100053,17,False,697,438,259,10.453935079135716,37.15925394548063
11,100053,18,False,416,66,350,4.466222611487953,84.13461538461539
11,100053,19,False,473,12,461,3.114689244659502,97.46300211416491
11,100053,20,False,650,2,648,2.752501966403548,99.6923076923077
11,100053,21,False,918,0,918,3.314225790398469,100.0
11,100053,22,False,1246,0,1246,3.8666329466342093,100.0
11,100053,23,False,1749,0,1749,4.411086969695836,100.0
11,100053,24,False,2433,0,2433,5.235094600115337,100.0
11,100053,25,False,3324,0,3324,5.976482865001613,100.0
11,100053,26,False,4630,0,4630,6.788818917044984,100.0
11,100053,27,False,6583,0,6583,7.708162024861679,100.0
11,100053,28,False,9272,0,9272,8.749077438403017,100.0
11,100053,29,False,13260,0,13260,9.9733735759789,100.0
11,100053,30,False,19073,0,19073,11.181656794287516,100.0
11,100053,31,False,27341,0,27341,12.790273582996418,100.0
11,100053,32,False,39508,0,39508,14.417631064718584,100.0
11,100053,33,False,57559,0,57559,15.995491049289825,100.0
11,100053,34,False,84731,0,84731,17.713231476565,100.0
11,100053,35,False,125963,0,125963,19.52485839772177,100.0
11,100053,36,False,188058,0,188058,21.366136629393456,100.0
